.78,18866
43.21,18869
41.45,18873
44.44,18876
45.00,18879
44.44,18883
.34,18851
44.56,18854
41.34,18859
44.56,18862
41.78,18866
43.21,18869
41.45,18873
44.44,18876
45.00,18879
44.44,18883
43.31,0
41.09,3
42.34,6
42.77,9
42.43,12
41.50,15
41.96,19
41.83,22
43.31,25
41.09,28
41.50,32
41.96,35
41.83,38
42.86,41
40.64,45
44.62,49
41.85,52
43.31,55
41.09,58
41.07,62
41.07,65
40.98,68
40.64,71
41.09,74
41.56,77
44.13,81
41.85,84
40.65,88
41.07,91
40.64,94
44.08,98
41.47,101
44.18,104
70.95,108
42.45,112
46.75,116
44.20,119
43.31,123
42.75,126
40.20,130
44.18,134
43.21,137
43.75,140
42.88,144
43.21,147
43.75,150
42.88,154
45.87,157
43.31,160
42.34,164
44.18,167
42.88,171
43.64,175
40.64,178
43.73,181
42.77,185
41.07,188
42.01,191
43.75,195
43.62,198
44.20,201
43.31,205
43.64,208
40.64,211
68.73,216
41.58,220
67.79,224
42.43,228
45.54,231
43.21,235
43.75,238
43.31,242
42.77,245
43.75,248
43.64,252
41.07,256
42.45,259
45.87,263
43.75,266
44.20,269
43.21,273
43.75,276
43.75,280
43.21,283
43.75,286
45.87,290
42.88,293
41.07,296
44.20,301
46.32,304
45.99,308
45.43,311
43.31,314
45.89,318
43.75,321
46.32,325
42.88,328
45.56,331
45.89,335
43.75,338
70.97,343
42.45,348
69.16,351
42.77,356
43.24,359
43.31,362
45.00,366
40.64,369
43.31,372
45.00,376
42.88,379
43.31,382
42.34,387
42.86,390
43.31,393
42.77,397
43.31,400
43.75,403
43.19,407
43.31,410
43.31,413
42.34,417
43.31,420
43.30,423
45.43,428
42.45,431
45.99,435
42.34,438
43.31,441
42.86,445
45.43,448
42.88,451
43.21,455
43.31,458
43.31,461
42.77,465
43.77,468
42.88,472
45.89,476
43.75,479
42.88,483
43.21,486
43.31,489
41.99,493
43.64,496
41.07,499
44.18,502
42.75,506
41.07,509
42.88,513
43.21,517
43.75,520
43.31,523
41.88,527
41.07,530
40.64,533
44.62,536
42.77,540
43.31,543
41.58,547
43.21,550
43.75,553
42.01,558
43.64,561
40.64,564
40.65,567
43.75,571
42.77,574
43.75,577
41.99,581
43.64,584
40.64,587
44.62,590
42.75,594
43.31,598
41.58,601
42.77,605
43.75,608
44.18,611
43.21,615
44.18,618
42.88,622
42.77,625
44.18,628
42.86,632
42.77,635
43.75,638
42.01,643
44.08,646
40.20,649
40.64,652
43.75,656
42.77,659
44.18,662
42.88,666
43.21,669
44.18,672
42.77,676
44.18,679
44.62,683
43.21,687
44.62,690
43.31,694
41.45,697
44.62,700
43.75,704
43.21,707
42.39,710
44.08,714
39.66,717
42.39,720
40.20,723
43.75,728
43.21,731
41.96,734
44.53,738
41.83,741
40.20,744
42.39,747
44.96,751
41.96,754
41.52,757
42.43,761
43.21,764
41.96,768
44.18,772
43.64,775
40.64,778
44.18,782
44.08,785
39.77,788
43.75,791
43.21,795
41.94,798
41.07,801
41.94,805
44.51,808
41.52,812
44.51,816
41.43,819
41.96,822
45.05,826
41.40,829
41.94,832
45.05,835
41.40,839
41.50,842
41.50,845
44.96,849
41.52,852
41.50,856
45.07,860
41.40,863
41.52,866
45.51,869
43.62,873
41.50,876
45.05,880
41.85,883
41.96,886
45.05,890
41.83,893
41.96,897
43.26,901
42.28,904
41.94,907
41.50,910
45.38,914
42.39,917
42.39,920
42.81,924
42.28,927
42.39,930
42.39,934
42.28,937
42.37,941
